职位名称,链接,薪资,地区,学历要求,工作经验要求
数据分析师,https://www.liepin.com/job/1914812928.shtml,12-24万,杭州-古荡,本科及以上,2年以上
数据分析专员,https://www.liepin.com/job/1912911531.shtml,5-8万,杭州,本科及以上,经验不限
数据分析工程师,https://www.liepin.com/job/1914120250.shtml,7-12万,杭州-西溪,本科及以上,经验不限
商品数据分析,https://www.liepin.com/job/1913833646.shtml,7-12万,杭州-下城区,大专及以上,1年以上
数据分析师,https://www.liepin.com/job/1913747630.shtml,7-14万,杭州-长河,大专及以上,1年以上
商品数据分析,https://www.liepin.com/job/1913718894.shtml,8-11万,杭州,大专及以上,2年以上
数据分析-企业征信,https://www.liepin.com/job/1913691056.shtml,12-24万,杭州,本科及以上,1年以上
数据分析-医健,https://www.liepin.com/job/1913275269.shtml,12-19万,杭州,本科及以上,1年以上
数据分析师,https://www.liepin.com/job/195262929.shtml,面议,杭州,本科及以上,2年以上
数据分析岗(主管),https://www.liepin.com/job/1911924721.shtml,8-11万,杭州-四季青,统招本科,1年以上
高级数据分析专员,https://www.liepin.com/job/1910137942.shtml,28-42万,杭州-滨江区,本科及以上,5年以上
数据分析师,https://www.liepin.com/job/1911125924.shtml,12-24万,杭州-西兴,本科及以上,2年以上
数据分析岗,https://www.liepin.com/job/199411804.shtml,10-13万,杭州-庆春路,统招本科,经验不限
临床数据统计,https://www.liepin.com/job/1915604578.shtml,15-30万,杭州-滨江区,本科及以上,2年以上
游戏数据分析师,https://www.liepin.com/a/12034579.shtml,20-30万,"广州,杭州",统招本科,1年以上
游戏数据分析师,https://www.liepin.com/a/11984089.shtml,20-40万,"广州,杭州",本科及以上,2年以上
游戏数据分析师,https://www.liepin.com/a/10159830.shtml,20-30万,"广州,杭州",统招本科,1年以上
数据分析专家,https://www.liepin.com/a/11475052.shtml,50-80万,杭州,统招本科,8年以上
资深商业数据分析,https://www.liepin.com/a/11989538.shtml,50-70万,杭州,本科及以上,4年以上
数据分析运营专家,https://www.liepin.com/a/11986647.shtml,50-80万,杭州,本科及以上,5年以上
 BI 数据分析,https://www.liepin.com/a/11966650.shtml,50-80万,杭州,本科及以上,3年以上
高级数据分析,https://www.liepin.com/a/11958818.shtml,100-130万,杭州,硕士及以上,6年以上
数据分析专家/高级专家,https://www.liepin.com/a/10783601.shtml,24-50万,杭州,统招本科,2年以上
资深数据分析,https://www.liepin.com/a/11324237.shtml,25-45万,杭州,本科及以上,4年以上
数据分析主管,https://www.liepin.com/a/11892900.shtml,20-30万,杭州,本科及以上,2年以上
 高级数据分析专家,https://www.liepin.com/a/11878337.shtml,30-50万,杭州,本科及以上,5年以上
数据分析师,https://www.liepin.com/a/11861835.shtml,60-90万,杭州,学历不限,8年以上
高级数据分析工程师（BI）,https://www.liepin.com/a/11792525.shtml,33-45万,杭州,统招本科,2年以上
数据建模分析师,https://www.liepin.com/a/11807557.shtml,18-40万,杭州,统招本科,1年以上
BI分析师（数据分析方向）,https://www.liepin.com/a/11760664.shtml,30-55万,杭州,统招本科,3年以上
数据分析师,https://www.liepin.com/a/11751910.shtml,40-50万,杭州,统招本科,5年以上
质量数据和分析,https://www.liepin.com/a/11717932.shtml,30-55万,杭州,大专及以上,3年以上
数据分析专家,https://www.liepin.com/a/11027364.shtml,40-70万,杭州,统招本科,5年以上
大数据BI分析师,https://www.liepin.com/job/1915627383.shtml,24-54万,杭州,本科及以上,3年以上
资深数据分析师/数据分析专家,https://www.liepin.com/job/1914893801.shtml,面议,杭州,统招本科,3年以上
安全数据分析员,https://www.liepin.com/job/1915561486.shtml,面议,杭州-滨江区,本科及以上,3年以上
数据分析/财务分析,https://www.liepin.com/job/1913274682.shtml,6-12万,杭州,本科及以上,1年以上
智能数据分析算法工程师(000958),https://www.liepin.com/job/1915581966.shtml,面议,杭州-余杭区,硕士及以上,4年以上
数据分析师,https://www.liepin.com/job/1915568582.shtml,15-30万,杭州,统招本科,3年以上
数据分析工程师,https://www.liepin.com/job/1914779844.shtml,24-48万,杭州-宁围,统招本科,2年以上
高级数据分析师,https://www.liepin.com/a/10889116.shtml,30-60万,"上海,北京,杭州",统招本科,3年以上
